DateTime;Ticker;Accion;Price;S3;S2;S1;Pivot point;R1;R2;R3;
2022-07-28 10:00;BTCUSDT;STRONG BUY;23010.4;22862.4;22916.7;23015.8;23070.1;23169.2;23223.5;23322.6;
2022-07-28 11:00;BTCUSDT;BUY;22836.0;22099.2;22350.1;22680.2;22931.1;23261.2;23512.1;23842.2;
2022-07-28 11:30;BTCUSDT;NEUTRAL;22877.0;22205.0;22498.0;22677.0;22970.0;23149.0;23442.0;23621.0;
2022-07-28 12:00;BTCUSDT;STRONG BUY;23125.0;22205.0;22498.0;22677.0;22970.0;23149.0;23442.0;23621.0;
2022-07-28 12:30;BTCUSDT;STRONG BUY;23467.0;22500.6;22626.8;22875.6;23001.8;23250.6;23376.8;23625.6;
2022-07-28 13:00;BTCUSDT;STRONG BUY;23750.8;22500.6;22626.8;22875.6;23001.8;23250.6;23376.8;23625.6;
2022-07-28 13:30;BTCUSDT;STRONG BUY;23943.0;22453.4;22785.9;23279.0;23611.5;24104.6;24437.1;24930.2;
2022-07-28 14:00;BTCUSDT;STRONG BUY;23762.0;22453.4;22785.9;23279.0;23611.5;24104.6;24437.1;24930.2;
2022-07-28 14:30;BTCUSDT;STRONG BUY;23898.0;23385.6;23529.3;23665.6;23809.3;23945.6;24089.3;24225.6;
2022-07-28 15:00;BTCUSDT;STRONG BUY;23993.3;23385.6;23529.3;23665.6;23809.3;23945.6;24089.3;24225.6;
2022-07-28 15:30;BTCUSDT;STRONG BUY;23747.4;23477.0;23616.0;23811.0;23950.0;24145.0;24284.0;24479.0;
2022-07-28 16:00;BTCUSDT;STRONG BUY;23810.0;23477.0;23616.0;23811.0;23950.0;24145.0;24284.0;24479.0;
2022-07-28 16:30;BTCUSDT;STRONG BUY;23831.0;23457.4;23601.7;23710.8;23855.1;23964.2;24108.5;24217.6;
2022-07-28 17:00;BTCUSDT;STRONG BUY;23831.0;23457.4;23601.7;23710.8;23855.1;23964.2;24108.5;24217.6;
2022-07-28 17:15;BTCUSDT;STRONG BUY;23854.0;23515.6;23598.3;23698.6;23781.3;23881.6;23964.3;24064.6;
2022-07-28 17:30;BTCUSDT;STRONG BUY;23933.0;23515.6;23598.3;23698.6;23781.3;23881.6;23964.3;24064.6;
2022-07-28 17:45;BTCUSDT;STRONG BUY;23926.0;23515.6;23598.3;23698.6;23781.3;23881.6;23964.3;24064.6;
2022-07-28 18:00;BTCUSDT;STRONG BUY;24030.0;23515.6;23598.3;23698.6;23781.3;23881.6;23964.3;24064.6;
2022-07-28 18:15;BTCUSDT;STRONG BUY;24085.0;23446.6;23620.3;23824.6;23998.3;24202.6;24376.3;24580.6;
2022-07-28 18:30;BTCUSDT;STRONG BUY;23926.0;23446.6;23620.3;23824.6;23998.3;24202.6;24376.3;24580.6;
2022-07-28 18:45;BTCUSDT;STRONG BUY;23932.0;23446.6;23620.3;23824.6;23998.3;24202.6;24376.3;24580.6;
2022-07-28 19:00;BTCUSDT;STRONG BUY;23900.0;23446.6;23620.3;23824.6;23998.3;24202.6;24376.3;24580.6;
2022-07-28 19:15;BTCUSDT;STRONG BUY;23867.0;23471.6;23652.3;23785.6;23966.3;24099.6;24280.3;24413.6;
2022-07-28 19:30;BTCUSDT;STRONG BUY;23934.8;23471.6;23652.3;23785.6;23966.3;24099.6;24280.3;24413.6;
2022-07-28 19:45;BTCUSDT;STRONG BUY;23960.3;23471.6;23652.3;23785.6;23966.3;24099.6;24280.3;24413.6;
2022-07-28 20:00;BTCUSDT;STRONG BUY;23966.4;23471.6;23652.3;23785.6;23966.3;24099.6;24280.3;24413.6;
2022-07-28 20:15;BTCUSDT;STRONG BUY;23885.0;23695.5;23757.2;23854.1;23915.9;24012.8;24074.6;24171.5;
2022-07-28 20:30;BTCUSDT;STRONG BUY;23835.1;23695.5;23757.2;23854.1;23915.9;24012.8;24074.6;24171.5;
2022-07-28 20:45;BTCUSDT;STRONG BUY;23784.0;23695.5;23757.2;23854.1;23915.9;24012.8;24074.6;24171.5;
2022-07-28 21:00;BTCUSDT;STRONG BUY;23851.6;23695.5;23757.2;23854.1;23915.9;24012.8;24074.6;24171.5;
